[2026-06-13 21:30:22] [🔥] Señal detectada para BTCUSDm: Lanzando orden BUY...
[2026-06-13 21:30:37] [🔥] Señal detectada para BTCUSDm: Lanzando orden BUY...
[2026-06-13 22:14:29] [+] Inicializando motores del Quant Sniper Bot...
[2026-06-13 22:14:31] [+] Conexión establecida con éxito en servidor: Exness-MT5Trial11
[2026-06-14 14:47:45] [🔥] Señal detectada para ETHUSDm: Lanzando orden BUY...
[2026-06-14 15:54:12] [-] Apagado del sistema solicitado por el operador.
[2026-06-14 15:54:12] [+] Conexiones cerradas de forma segura. Motores apagados.
[2026-06-14 18:36:33] Fila de patrullaje activada con Firma: 1000
[2026-06-14 18:36:33] Fila de patrullaje activada con Firma: 3000
[2026-06-14 18:36:33] Patrullando 3 activos...
[2026-06-14 18:36:33] Fila de patrullaje activada con Firma: 2000
[2026-06-14 18:36:33] Patrullando 2 activos...
[2026-06-14 18:36:33] Patrullando 2 activos...
[2026-06-14 18:36:48] Patrullando 3 activos...
[2026-06-14 18:36:48] Patrullando 2 activos...
[2026-06-14 18:36:48] Patrullando 2 activos...
[2026-06-14 18:37:03] Patrullando 3 activos...
[2026-06-14 18:37:03] Patrullando 2 activos...
[2026-06-14 18:37:03] Patrullando 2 activos...
[2026-06-14 18:37:18] Patrullando 3 activos...
[2026-06-14 18:37:18] Patrullando 2 activos...
[2026-06-14 18:37:18] Patrullando 2 activos...
[2026-06-14 18:37:33] Patrullando 3 activos...
[2026-06-14 18:37:33] Patrullando 2 activos...
[2026-06-14 18:37:33] Patrullando 2 activos...
[2026-06-14 18:37:48] Patrullando 3 activos...
[2026-06-14 18:37:48] Patrullando 2 activos...
[2026-06-14 18:37:48] Patrullando 2 activos...
[2026-06-14 18:38:03] Patrullando 3 activos...
[2026-06-14 18:38:03] Patrullando 2 activos...
[2026-06-14 18:38:03] Patrullando 2 activos...
[2026-06-14 18:38:18] Patrullando 3 activos...
[2026-06-14 18:38:18] Patrullando 2 activos...
[2026-06-14 18:38:18] Patrullando 2 activos...
[2026-06-14 18:38:33] Patrullando 3 activos...
[2026-06-14 18:38:33] Patrullando 2 activos...
[2026-06-14 18:38:33] Patrullando 2 activos...
[2026-06-14 18:38:48] Patrullando 3 activos...
